标准技能名称,技能一级类型,技能簇编号,技能簇名称,原始技能类型,历史技能岗位数,历史与AI共同出现岗位数,近年与AI共同出现岗位数,活跃月份数,AI共现提升度,与AI共现强度_NPMI,历史AI协同占比,指标口径
HALCON,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,3660,1239,621,106,31.707545106977975,0.3915256643370264,0.3385245901639344,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
NumPy,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,1983,1238,586,102,58.47501319054,0.4608101460464096,0.6243066061522945,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Spring Cloud,其他技能,3,Java后端开发与中间件,工具软件与技术平台,38831,1217,425,92,2.935515658318628,0.121732052603724,0.0313409389405372,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
GBDT,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,1328,1192,235,96,84.07184500053177,0.4997883850827206,0.8975903614457831,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
C语言,其他技能,11,嵌入式与电子硬件开发,工具软件与技术平台,62420,1187,172,102,1.7811453137970727,0.0650701260672479,0.0190163409163729,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
TCP协议,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,68428,1185,456,107,1.6220226021192512,0.0545108361716038,0.0173174723797275,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Vue,其他技能,10,Web前端开发,工具软件与技术平台,62802,1179,499,95,1.7583799721286686,0.0635716331157769,0.0187732874749211,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Windows操作系统,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,82311,1152,321,105,1.31089225951286,0.0304124307707248,0.0139956992382549,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
HDFS,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,8423,1147,137,98,12.754663789536997,0.2858766385321247,0.1361747595868455,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
服务意识,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,422606,1143,366,100,0.2533278688908245,-0.1541205002105069,0.0027046468814924,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
口头表达,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,266688,1141,286,103,0.4007325019913856,-0.1026236377522881,0.0042784077273818,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
风控模型,其他技能,15,人工智能与数据挖掘,方法、标准与流程,3124,1137,190,94,34.089594671025715,0.3958783178527762,0.3639564660691421,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
ZooKeeper,其他技能,3,Java后端开发与中间件,工具软件与技术平台,19119,1119,132,98,5.48197829006276,0.1905274504959511,0.0585281656990428,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
PostgreSQL,其他技能,3,Java后端开发与中间件,工具软件与技术平台,17800,1112,356,103,5.851364909259543,0.1976905253221648,0.0624719101123595,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Visio,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,45274,1106,301,102,2.2881192688215837,0.0925667802442056,0.024429032115563,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
细致严谨,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,149173,1102,455,100,0.6919325617761529,-0.0411673553612574,0.0073873958424111,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Unix,其他技能,3,Java后端开发与中间件,工具软件与技术平台,38705,1098,182,93,2.657098573802861,0.1091975328381305,0.0283684278516987,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
自动化测试,其他技能,21,软件测试与质量保障,方法、标准与流程,56717,1078,345,102,1.7802373469165889,0.0643143451412288,0.0190066470370435,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Perl,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,23794,1077,106,93,4.239558614372093,0.161058281629031,0.0452635118096999,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
网络协议,专业知识,7,网络通信与软件开发基础,专业知识与行业经验,72653,1072,340,105,1.382017783118064,0.0360567570568883,0.0147550686138218,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
独立思考,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,40626,1061,306,103,2.4461535645939136,0.0995731202117221,0.0261162802146408,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
React,其他技能,10,Web前端开发,工具软件与技术平台,49171,1040,414,87,1.9810557459991085,0.0759292819255238,0.0211506782453071,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Word,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,211762,1039,389,103,0.4595575606191082,-0.0863450114411348,0.0049064515824368,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
网络编程,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,42667,1038,194,99,2.2786501093848877,0.0914540371753042,0.0243279349380083,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Django,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,7811,1027,463,96,12.31505068946878,0.2784824691840566,0.1314812443989245,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Nginx,其他技能,3,Java后端开发与中间件,工具软件与技术平台,42128,1006,286,97,2.236657764592919,0.0890788136458499,0.0238796050132928,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
JVM,专业知识,3,Java后端开发与中间件,专业知识与行业经验,28476,1006,221,98,3.3089590640107627,0.1324186332859314,0.0353279955049866,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Java EE,其他技能,3,Java后端开发与中间件,工具软件与技术平台,72556,998,107,98,1.288337378427447,0.0280110638201715,0.0137548927724791,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
商务谈判,其他技能,2,组织协调与商业执行,方法、标准与流程,306401,990,259,96,0.3026337882434888,-0.1320292696355836,0.0032310599508487,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
时间序列,其他技能,15,人工智能与数据挖掘,方法、标准与流程,1552,980,283,106,59.14346392049448,0.4501817164092313,0.6314432989690721,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
XGBoost,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,1098,972,347,91,82.91561432333224,0.4870202732877015,0.8852459016393442,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
DSP,其他技能,11,嵌入式与电子硬件开发,工具软件与技术平台,24651,954,187,101,3.6248182103137543,0.1416754207813609,0.0387002555677254,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
交互设计,其他技能,5,视觉设计与数字内容制作,方法、标准与流程,47207,942,282,96,1.8690326961268755,0.0687088684553068,0.0199546677399538,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Flask,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,5056,930,489,93,17.228532292262358,0.3122845113555014,0.1839398734177215,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
RAG,其他技能,15,人工智能与数据挖掘,具体专业技能,922,918,918,24,93.25758357190404,0.4968473833373231,0.9956616052060736,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
招聘,其他技能,17,人力资源与行政管理,方法、标准与流程,109489,914,264,92,0.781894403223166,-0.0269402074919669,0.0083478705623395,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
消息队列,其他技能,3,Java后端开发与中间件,具体专业技能,23279,891,261,98,3.584972112910086,0.1394115766724217,0.0382748399845354,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
预测模型,其他技能,15,人工智能与数据挖掘,方法、标准与流程,2549,837,237,98,30.755870279604014,0.3715656859316864,0.3283640643389564,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
测试工具,其他技能,21,软件测试与质量保障,方法、标准与流程,63139,831,211,97,1.2327520191089367,0.0226758113458087,0.0131614374633744,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
虚拟化,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,35931,820,254,88,2.137553267452472,0.0822039890272477,0.022821519022571,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
吃苦耐劳,非技术型技能,9,工业自动化与电气控制,非技术性能力,505421,811,289,106,0.1502934208126444,-0.2048337113525922,0.0016046028954079,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
DevOps,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,14836,809,310,94,5.10744966103737,0.1762026643155622,0.0545295227824211,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
市场分析,其他技能,2,组织协调与商业执行,方法、标准与流程,126146,793,214,94,0.5888058298794504,-0.0571081590592906,0.0062863665910928,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
PHP,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,50900,776,114,88,1.4279609690785326,0.0383213019878339,0.0152455795677799,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Tomcat,其他技能,3,Java后端开发与中间件,工具软件与技术平台,68345,776,116,90,1.0634752114433728,0.0066200356771238,0.0113541590460165,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
设计软件应用,其他技能,8,机械设计与制造,方法、标准与流程,261237,774,460,98,0.2775100213855623,-0.137854643437652,0.0029628268583699,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
FPGA,其他技能,11,嵌入式与电子硬件开发,方法、标准与流程,22238,745,192,101,3.137855533341189,0.1224726763521047,0.033501214137962,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
计划统筹,非技术型技能,2,组织协调与商业执行,非技术性能力,79651,743,229,89,0.8737153768445368,-0.0144543549519547,0.0093281942474043,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
CI/CD,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,18118,742,286,93,3.8358891459512985,0.1439226897663707,0.0409537476542664,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Spring MVC,其他技能,3,Java后端开发与中间件,工具软件与技术平台,45516,741,127,92,1.5248478691371616,0.0451587254038919,0.0162799894542578,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
iOS开发,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,55688,727,183,102,1.2227711630129818,0.0214835752223071,0.0130548771728199,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
LangChain,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,731,727,727,32,93.15140974810798,0.4843452766995382,0.9945280437756496,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
产品管理,其他技能,1,表达沟通与通用办公协作,工具软件与技术平台,29022,724,218,87,2.336595986554035,0.090617446836099,0.0249465922403693,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
平面设计,其他技能,5,视觉设计与数字内容制作,方法、标准与流程,97447,724,385,90,0.6958930364379735,-0.0387114251906057,0.0074296797233367,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
性能测试,其他技能,21,软件测试与质量保障,方法、标准与流程,51792,712,268,97,1.2876259172340951,0.026944063463116,0.013747296879827,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Photoshop,其他技能,5,视觉设计与数字内容制作,方法、标准与流程,153329,710,414,92,0.4337169983238076,-0.0890083674137241,0.0046305656464204,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
演讲呈现,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,28100,673,189,90,2.2432679022115187,0.0855976317182837,0.023950177935943,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
自动化控制,其他技能,9,工业自动化与电气控制,方法、标准与流程,37548,665,283,92,1.658850446749628,0.0535542358179062,0.017710663683818,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
质量管理,其他技能,6,质量管理与持续改进,方法、标准与流程,252786,661,273,95,0.2449180763007473,-0.1487651084218269,0.0026148600001582,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
QC,其他技能,6,质量管理与持续改进,职业职能与业务活动,164768,648,299,97,0.3683617552235822,-0.1053848938709676,0.0039328024859195,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
YOLO,其他技能,15,人工智能与数据挖掘,工具软件与技术平台,676,630,444,84,87.29035334335026,0.4702104977056854,0.9319526627218936,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
新能源,专业知识,9,工业自动化与电气控制,专业知识与行业经验,76121,625,407,95,0.7690382310612299,-0.0276066415182735,0.0082106120518647,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Qt,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,14489,622,239,101,4.020910165126382,0.1462045545487375,0.0429291186417282,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Node.js,其他技能,10,Web前端开发,工具软件与技术平台,31952,619,133,85,1.8145335371313347,0.0625713846647054,0.0193728092138207,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
PMP,其他技能,22,网络运维与信息安全,证书与资质,37823,618,266,84,1.5303998002200203,0.044679672615581,0.0163392644687095,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
jQuery,其他技能,10,Web前端开发,工具软件与技术平台,98791,598,104,87,0.5669649355685259,-0.0593768076005546,0.0060531829822554,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Dubbo,其他技能,3,Java后端开发与中间件,工具软件与技术平台,24314,587,121,92,2.2612786735241373,0.0852105796366618,0.0241424693592169,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Tableau,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,5362,585,199,97,10.21883659057604,0.2426415838268899,0.109101081685938,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
阿里云,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,11507,575,203,91,4.680347827555655,0.1608330637888444,0.0499695837316416,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
翻译,其他技能,4,供应链与物流管理,语言能力,31184,566,149,87,1.700031652109919,0.0552073387195512,0.0181503335043612,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
结构设计,其他技能,8,机械设计与制造,具体专业技能,108465,553,245,101,0.4775379697442879,-0.0767101120052033,0.0050984188447886,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
搜索算法,其他技能,15,人工智能与数据挖掘,方法、标准与流程,918,550,106,84,56.1167364751835,0.417759098709599,0.599128540305011,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
报表开发,其他技能,19,大数据工程与数据仓库,工具软件与技术平台,28272,549,155,94,1.818813672521218,0.0620369771185101,0.019418505942275,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
CRM,其他技能,4,供应链与物流管理,方法、标准与流程,63787,541,183,91,0.7943967998484212,-0.0238345913811003,0.0084813519996237,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
测试流程,其他技能,21,软件测试与质量保障,方法、标准与流程,49948,538,180,91,1.0088731654487768,0.0009142473942382,0.0107712020501321,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
GitHub,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,8044,535,158,92,6.22951330976377,0.1892073933592604,0.0665091994032819,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
AWS,其他技能,13,云计算、系统运维与DevOps,工具软件与技术平台,6900,534,259,83,7.248774076672636,0.2048411867871025,0.077391304347826,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
ERP,其他技能,4,供应链与物流管理,方法、标准与流程,171904,530,281,87,0.2887767904775158,-0.1283479712330867,0.0030831161578555,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
投研,其他技能,14,金融风控、投资与合规,具体专业技能,19590,522,169,91,2.495792440666577,0.0943591871745887,0.026646248085758,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
功能测试,其他技能,21,软件测试与质量保障,方法、标准与流程,39088,520,266,87,1.2460408832189185,0.0226852687029861,0.0133033155955792,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
商业意识,非技术型技能,2,组织协调与商业执行,非技术性能力,26809,516,104,81,1.802774825784877,0.0607279607644465,0.0192472677086053,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
摄像,其他技能,11,嵌入式与电子硬件开发,方法、标准与流程,12498,512,130,92,3.837088699445707,0.1384567384117034,0.0409665546487438,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
人际交往,非技术型技能,2,组织协调与商业执行,非技术性能力,145091,511,104,89,0.3298775984104725,-0.1141672360141376,0.0035219276178398,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
面向对象编程,其他技能,10,Web前端开发,方法、标准与流程,26193,508,151,92,1.8165646862473992,0.0614143022360762,0.0193944947123277,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
RESTful API,其他技能,3,Java后端开发与中间件,工具软件与技术平台,12685,507,213,83,3.743603854330277,0.1357799211983294,0.0399684666929444,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
业务理解,非技术型技能,19,大数据工程与数据仓库,非技术性能力,8844,506,121,84,5.358881835988351,0.1726413421671412,0.0572139303482587,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
跨部门协作,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,15949,498,269,77,2.924612168781262,0.110182202814854,0.0312245281835851,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
PCL点云库,其他技能,15,人工智能与数据挖掘,具体专业技能,1061,494,265,92,43.60978674938551,0.3872898537100496,0.4655984919886899,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
PLC,其他技能,9,工业自动化与电气控制,方法、标准与流程,67583,487,247,92,0.6749380198897352,-0.040271005413448,0.0072059541600698,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
MES,其他技能,4,供应链与物流管理,具体专业技能,31945,483,340,82,1.4161740635283662,0.0356133332218106,0.0151197370480513,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
市场开拓,其他技能,2,组织协调与商业执行,方法、标准与流程,126324,479,117,79,0.3551583604114764,-0.1058609693065184,0.0037918368639371,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
AutoCAD,其他技能,8,机械设计与制造,方法、标准与流程,322488,476,188,95,0.1382502075008174,-0.2022153025927962,0.0014760239140681,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
RabbitMQ,其他技能,3,Java后端开发与中间件,工具软件与技术平台,13865,469,188,80,3.1682932112249227,0.1176741820919576,0.0338261810313739,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
项目申报,其他技能,18,医药研发与药事管理,方法、标准与流程,29105,467,228,90,1.5028708986166086,0.0415514867548411,0.016045353032125,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
测试方法,其他技能,21,软件测试与质量保障,具体专业技能,45533,456,211,85,0.9380175745624498,-0.0065106481948523,0.0100147146025959,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
大客户销售,其他技能,2,组织协调与商业执行,方法、标准与流程,142112,446,106,87,0.2939520580638246,-0.124296249934444,0.0031383697365458,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
总结归纳,非技术型技能,1,表达沟通与通用办公协作,非技术性能力,24983,440,139,87,1.6496069834437324,0.0507453177376748,0.0176119761437777,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
UI设计,其他技能,5,视觉设计与数字内容制作,方法、标准与流程,51357,434,170,86,0.791521071308357,-0.0236699780111802,0.008450649375937,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Maven,其他技能,3,Java后端开发与中间件,工具软件与技术平台,23350,425,103,86,1.7048039506165344,0.0538925877672863,0.0182012847965738,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
XMind,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,13313,424,132,80,2.983062293412266,0.1103906586600333,0.0318485690678284,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
适应能力,非技术型技能,2,组织协调与商业执行,非技术性能力,60030,422,155,84,0.6584404538197625,-0.0421868742227376,0.0070298184241212,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
SVN,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,33396,421,140,89,1.1807556745748522,0.0167699969180897,0.0126063001557072,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
计算机操作,其他技能,1,表达沟通与通用办公协作,方法、标准与流程,42756,415,151,88,0.9091246351368296,-0.009602006408376,0.0097062400598746,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
营销策划,其他技能,5,视觉设计与数字内容制作,方法、标准与流程,160890,410,183,83,0.2386861410057641,-0.1442076360112378,0.0025483249425073,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
Illustrator,其他技能,5,视觉设计与数字内容制作,工具软件与技术平台,61548,410,278,80,0.6239392543448592,-0.0474820554637277,0.0066614674725417,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
新媒体运营,其他技能,5,视觉设计与数字内容制作,方法、标准与流程,48347,395,216,86,0.7652440524942336,-0.0268322553106339,0.0081701036258713,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
VisionPro,其他技能,7,网络通信与软件开发基础,工具软件与技术平台,1481,385,228,83,24.348828399022903,0.3193364848214688,0.2599594868332208,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
应变能力,非技术型技能,2,组织协调与商业执行,非技术性能力,159360,382,106,83,0.2245207270008608,-0.1493031251451122,0.0023970883534136,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
小程序开发,其他技能,10,Web前端开发,工具软件与技术平台,25208,368,154,75,1.3673567109281608,0.0311558423232864,0.0145985401459854,2016—2025年招聘岗位；NPMI为标准化逐点互信息，越高表示该技能与AI核心技能越倾向于超出随机水平共同出现
